Experiment,Coral.ID,Haplotype,Species,Tank,Area_cm2,Growth.mg.cm2.d,Light,Temperature
Fixed Temp Varied light,A17,Haplotype 11,P. cf. effusa,10,28.8,1.38,917,28.6
Fixed Temp Varied light,A35,Haplotype 1a,P. grandis,9,32,1.4,131,29.2
Fixed Temp Varied light,A22,Haplotype 1a,P. grandis,5,16.2,1.46,637,29.2
Fixed Temp Varied light,A18,Haplotype 1a,P. grandis,10,50.7,0.92,917,28.6
Fixed Temp Varied light,A03,Haplotype 1a,P. grandis,7,35.3,1.48,1155,29.4
Fixed Temp Varied light,A30,Haplotype 1a,P. grandis,7,50,1.65,1155,29.4
Fixed Temp Varied light,B12,Haplotype 1a,P. meandrina,9,43.4,0.71,131,29.2
Fixed Temp Varied light,B25,Haplotype 1a,P. meandrina,9,20.1,0.91,131,29.2
Fixed Temp Varied light,B17,Haplotype 8a,P. meandrina,11,32.1,1.13,398,28.9
Fixed Temp Varied light,B22,Haplotype 1a,P. meandrina,11,27.3,0.25,398,28.9
Fixed Temp Varied light,B11,Haplotype 1a,P. meandrina,10,21.4,0.26,917,28.6
Fixed Temp Varied light,B26,Haplotype 1a,P. meandrina,10,37.1,1.18,917,28.6
Fixed Temp Varied light,B10,Haplotype 1a,P. meandrina,7,13.4,1.29,1155,29.4
Fixed Temp Varied light,B30,Haplotype 3b,P. verrucosa,9,39.6,0.41,131,29.2
Fixed Temp Varied light,B44,Haplotype 3b,P. verrucosa,9,54.1,1.21,131,29.2
Fixed Temp Varied light,A23,Haplotype 3b,P. verrucosa,9,38.5,0.75,131,29.2
Fixed Temp Varied light,A27,Haplotype 3b,P. verrucosa,9,20.3,0.98,131,29.2
Fixed Temp Varied light,A38,Haplotype 3e,P. verrucosa,9,10.9,0.66,131,29.2
Fixed Temp Varied light,B27,Haplotype 3b,P. verrucosa,11,34.7,1.98,398,28.9
Fixed Temp Varied light,B46,Haplotype 3a,P. verrucosa,11,68.7,1.67,398,28.9
Fixed Temp Varied light,A01,Haplotype 3b,P. verrucosa,11,70.7,1.18,398,28.9
Fixed Temp Varied light,A16,Haplotype 3b,P. verrucosa,11,59,1.31,398,28.9
Fixed Temp Varied light,A19,Haplotype 3h,P. verrucosa,11,20.9,0.92,398,28.9
Fixed Temp Varied light,A40,Haplotype 3b,P. verrucosa,11,34.3,1.17,398,28.9
Fixed Temp Varied light,B23,Haplotype 3a,P. verrucosa,5,35.6,1.02,637,29.2
Fixed Temp Varied light,B37,Haplotype 3b,P. verrucosa,5,55.1,1.77,637,29.2
Fixed Temp Varied light,B39,Haplotype 3b,P. verrucosa,5,53.8,0.54,637,29.2
Fixed Temp Varied light,B47,Haplotype 3h,P. verrucosa,5,39.5,0.62,637,29.2
Fixed Temp Varied light,A08,Haplotype 3a,P. verrucosa,5,24.1,1.48,637,29.2
Fixed Temp Varied light,A11,Haplotype 3b,P. verrucosa,5,32.1,1.54,637,29.2
Fixed Temp Varied light,A24,Haplotype 3f,P. verrucosa,5,22.3,0.66,637,29.2
Fixed Temp Varied light,B21,Haplotype 3b,P. verrucosa,1,59.2,1.11,902,29.3
Fixed Temp Varied light,B34,Haplotype 3b,P. verrucosa,1,32.2,1.51,902,29.3
Fixed Temp Varied light,B40,Haplotype 3b,P. verrucosa,1,47.9,1.31,902,29.3
Fixed Temp Varied light,B48,Haplotype 3h,P. verrucosa,1,55.4,0.74,902,29.3
Fixed Temp Varied light,A12,Haplotype 3b,P. verrucosa,1,58,1.57,902,29.3
Fixed Temp Varied light,A26,Haplotype 3a,P. verrucosa,1,40.2,2.51,902,29.3
Fixed Temp Varied light,A45,Haplotype 3b,P. verrucosa,1,20.8,0.99,902,29.3
Fixed Temp Varied light,A47,Haplotype 3b,P. verrucosa,1,22.1,1.15,902,29.3
Fixed Temp Varied light,B04,Haplotype 3b,P. verrucosa,10,16.1,0.78,917,28.6
Fixed Temp Varied light,B35,Haplotype 3b,P. verrucosa,10,33.1,1.13,917,28.6
Fixed Temp Varied light,A04,Haplotype 3b,P. verrucosa,10,40.6,1.54,917,28.6
Fixed Temp Varied light,A42,Haplotype 3b,P. verrucosa,10,24.2,1.99,917,28.6
Fixed Temp Varied light,B02,Haplotype 3b,P. verrucosa,7,47.7,1.25,1155,29.4
Fixed Temp Varied light,B16,Haplotype 3b,P. verrucosa,7,23.8,1.39,1155,29.4
Fixed Temp Varied light,B49,Haplotype 3b,P. verrucosa,7,55,1.56,1155,29.4
Fixed Temp Varied light,A46,Haplotype 3f,P. verrucosa,7,42.6,0.95,1155,29.4
Fixed Temp Varied light,A50,Haplotype 3e,P. verrucosa,7,30.9,0.95,1155,29.4
Fixed light varied Temp,A44,Haplotype 1a,P. grandis,3,25.7,1.13,Fixed,25.2
Fixed light varied Temp,A25,Haplotype 1a,P. grandis,12,58.9,0.95,Fixed,27
Fixed light varied Temp,A31,Haplotype 1a,P. grandis,12,21.1,0.73,Fixed,27
Fixed light varied Temp,A37,Haplotype 1a,P. grandis,8,17.6,1.27,Fixed,30.2
Fixed light varied Temp,A13,Haplotype 1a,P. grandis,4,30.9,0.68,Fixed,30.9
Fixed light varied Temp,A14,Haplotype 1a,P. grandis,4,32.7,0.88,Fixed,30.9
Fixed light varied Temp,B29,Haplotype 1a,P. meandrina,3,21.5,0.96,Fixed,25.2
Fixed light varied Temp,B45,Haplotype 1a,P. meandrina,3,26.4,0.93,Fixed,25.2
Fixed light varied Temp,B38,Haplotype 1a,P. meandrina,12,26.5,0.9,Fixed,27
Fixed light varied Temp,A36,Haplotype 1a,P. meandrina,6,28.9,1.24,Fixed,28.3
Fixed light varied Temp,B07,Haplotype 1a,P. meandrina,2,15.8,0.99,Fixed,29.2
Fixed light varied Temp,B24,Haplotype 1a,P. meandrina,2,46.7,2.6,Fixed,29.2
Fixed light varied Temp,A39,Haplotype 10,P. tuahiniensis,8,25,1.86,Fixed,30.2
Fixed light varied Temp,B03,Haplotype 3h,P. verrucosa,3,22.1,1.08,Fixed,25.2
Fixed light varied Temp,B09,Haplotype 3b,P. verrucosa,3,42.3,0.86,Fixed,25.2
Fixed light varied Temp,A09,Haplotype 3b,P. verrucosa,3,35.3,0.9,Fixed,25.2
Fixed light varied Temp,A15,Haplotype 3a,P. verrucosa,3,16.6,1.59,Fixed,25.2
Fixed light varied Temp,A41,Haplotype 3b,P. verrucosa,3,29.6,0.92,Fixed,25.2
Fixed light varied Temp,B06,Haplotype 3b,P. verrucosa,12,32.3,1.24,Fixed,27
Fixed light varied Temp,B15,Haplotype 3b,P. verrucosa,12,28.5,2.05,Fixed,27
Fixed light varied Temp,B43,Haplotype 3b,P. verrucosa,12,24.5,1.53,Fixed,27
Fixed light varied Temp,A05,Haplotype 3b,P. verrucosa,12,12.8,0.85,Fixed,27
Fixed light varied Temp,A29,Haplotype 3b,P. verrucosa,12,19.7,1.93,Fixed,27
Fixed light varied Temp,B05,Haplotype 3f,P. verrucosa,6,51.4,2.48,Fixed,28.3
Fixed light varied Temp,B08,Haplotype 3f,P. verrucosa,6,47.5,1.65,Fixed,28.3
Fixed light varied Temp,B14,Haplotype 3a,P. verrucosa,6,45.9,2.98,Fixed,28.3
Fixed light varied Temp,B32,Haplotype 3b,P. verrucosa,6,23.3,1.73,Fixed,28.3
Fixed light varied Temp,A06,Haplotype 3a,P. verrucosa,6,47.3,2,Fixed,28.3
Fixed light varied Temp,A34,Haplotype 3b,P. verrucosa,6,20.6,1.78,Fixed,28.3
Fixed light varied Temp,A48,Haplotype 3b,P. verrucosa,6,39.1,1.68,Fixed,28.3
Fixed light varied Temp,B28,Haplotype 3a,P. verrucosa,2,51.7,1.17,Fixed,29.2
Fixed light varied Temp,B31,Haplotype 3b,P. verrucosa,2,28.5,1.93,Fixed,29.2
Fixed light varied Temp,A10,Haplotype 3f,P. verrucosa,2,31,1.19,Fixed,29.2
Fixed light varied Temp,A20,Haplotype 3b,P. verrucosa,2,40.5,2.18,Fixed,29.2
Fixed light varied Temp,A33,Haplotype 3e,P. verrucosa,2,21.8,1.28,Fixed,29.2
Fixed light varied Temp,A49,Haplotype 3b,P. verrucosa,2,25.5,0.75,Fixed,29.2
Fixed light varied Temp,B01,Haplotype 3b,P. verrucosa,8,38.1,0.89,Fixed,30.2
Fixed light varied Temp,B19,Haplotype 3b,P. verrucosa,8,88.4,1.3,Fixed,30.2
Fixed light varied Temp,B20,Haplotype 3h,P. verrucosa,8,26.3,1.7,Fixed,30.2
Fixed light varied Temp,B50,Haplotype 3b,P. verrucosa,8,18.9,0.76,Fixed,30.2
Fixed light varied Temp,A02,Haplotype 3f,P. verrucosa,8,29.4,2.3,Fixed,30.2
Fixed light varied Temp,A32,Haplotype 3b,P. verrucosa,8,20.7,2.65,Fixed,30.2
Fixed light varied Temp,B13,Haplotype 3a,P. verrucosa,4,38.9,1.96,Fixed,30.9
Fixed light varied Temp,B18,Haplotype 3h,P. verrucosa,4,14.2,1.37,Fixed,30.9
Fixed light varied Temp,B33,Haplotype 3b,P. verrucosa,4,20.4,0.47,Fixed,30.9
Fixed light varied Temp,B42,Haplotype 3b,P. verrucosa,4,49.1,1.66,Fixed,30.9
Fixed light varied Temp,A07,Haplotype 3b,P. verrucosa,4,25.5,1.4,Fixed,30.9
Fixed light varied Temp,A28,Haplotype 3b,P. verrucosa,4,25.3,0.71,Fixed,30.9